id,NL,Code
13901,"Use $conn$ to query all columns in the flights table with destination as $destination$ and get all data,use for loop iterate through the query results and print all the results.","public void main(JdbcTemplate conn,String destination) {
List information = conn.query(""select * from flights where destination = ? "", new Object[]{destination}, new BeanPropertyRowMapper(List.class));
for (Object flight : information) {
System.out.println(flight);
}
}"
11196,"Try to use $db$ to connect to the database,query all columns in the trainers where result is $result$, and get all the data,return the query result in jsonify form. If an Exception occurs,the Exception information in the form of a string is returned by jsonify.","public JSONObject trainers(DataSource db, String result){
JdbcTemplate conn = new JdbcTemplate(db);
JSONObject json = null;
try {
List result_data = conn.query(""select * from trainers where result= ? "", new Object[]{result}, new BeanPropertyRowMapper(List.class));
if(!result_data.isEmpty()){
json = new JSONObject(new HashMap(){
{put(""result_data"", result_data.get(0));}
});
}
}
catch (Exception e){
json = new JSONObject(new HashMap(){
{put(""exception"",e);}
});
}
return json;
}"
13714,Use $conn$ to execute SQL (query all columns in the metadata table based on $id$)and get the first piece of data. Print the query results and return.,"public Object setupClass(JdbcTemplate conn,String id){
List foo = conn.query(""select * from metadata where id = ? "", new Object[]{id}, new BeanPropertyRowMapper(List.class));
System.out.println(foo.get(0));
return foo.get(0);
}"
13207,"Use $sess$to execute a java expression (query all the columns in the $urls$ where url is $url$) and get the first data.Returns the ""id"" item of the query result if there is one, otherwise return None.","public String selectUrls(EntityManager sess, Root<Object> urls, String url){
CriteriaBuilder cb = sess.getCriteriaBuilder();
CriteriaQuery<Object> cq = cb.createQuery(Object.class);
cq.select(urls).where(cb.equal(urls.get(""url""),url));
List<Object> ex_url = sess.createQuery(cq).getResultList();
if (ex_url.isEmpty()){
return null;
}
else {
JSONObject jsonObject = JSONObject.parseObject(ex_url.get(0).toString());
return jsonObject.getString(""id"");
}
}"
14135,Get the database engine via $url$.Query all the columns in the person table based on $id$ and get all the data. For loop iterates through the query results and prints.,"public void getAll(DataSource url,String id){
JdbcTemplate con = new JdbcTemplate(url);
List res = con.query(""select * from person where id = ? "", new Object[]{id}, new BeanPropertyRowMapper(List.class));
for (Object i : res) {
System.out.println(i);
}
}"
13953,"Get the database engine and establish a connection through $cookies1$.Use the java expression to set the SQL statement (query all the data in the $cookies$ table),execute SQL, get all the data and return.","public List getSource(EntityManager cookies1,List<Object> cookies){
CriteriaBuilder cb = cookies1.getCriteriaBuilder();
CriteriaQuery<Object> cq = cb.createQuery(Object.class);
cookies = cookies1.createQuery(cq).getResultList();
return cookies;
}"
13440,Use $conn$ to execute SQL (get 'column' column in the 'table' table based on $type$)and get all the data. Then use information method to process the query results and finally return the query results.,"public List selectCols(JdbcTemplate con,String type){
List results = con.query(""select column from table where type = ?"", new Object[]{type}, new BeanPropertyRowMapper(List.class));
System.out.println(results);
return results;
}"
11032,"Using $conn$ to execute SQL in ORM mode:Query the first piece of data information in the $passengers$ table based on $flight_id$.If the result of the query is None, return the rendered ""error.html"" page andpass ""No such flights"" to the message parameter. Otherwise, return to the rendered ""fligh.thtml"" page and pass the query result to the passengers parameter.","public String selectUrls(EntityManager conn, Root<Object> passengers, String flight_id, Model model){
        CriteriaBuilder cb = conn.getCriteriaBuilder();
        CriteriaQuery<Object> cq = cb.createQuery(Object.class);
        cq.select(passengers).where(cb.equal(passengers.get(""flight_id""),flight_id));
        List<Object> values = conn.createQuery(cq).getResultList();
        if (values.isEmpty()){
            model.addAttribute(""message"",""No such flights"");
            return ""error.html"";
        }
        else {
            model.addAttribute(""passengers"",values);
            return ""flight.html"";
        }
    }"
11381,"Get the database engine through $db_file$, set the parameter echo to True, and establish a connection. Execute the SQL statement (query all the columns in the Directions table according to $directionID$), get all the data, close the connection, take the query result as the value of the parameter steps and return in json format.","public JSONArray getDirectionsForDestination(DataSource db_file,String directionID){
JdbcTemplate connection = new JdbcTemplate(db_file);
List steps = connection.query(""select * from Directions where directionID= ? "", new Object[]{directionID}, new BeanPropertyRowMapper(List.class));
return JSONObject.parseArray(steps.toString());
}"
14150,"""Query all 'year' with 'title': $title$ in the movies table via $conn$, print the query result and return.","public List yearCall(JdbcTemplate conn,String title){
List resultData = conn.query(""select year from movies where title = ? "", new Object[]{title}, new BeanPropertyRowMapper(List.class));
System.out.println(resultData);
return resultData;
}"
